customer_id,loan_number,application_date,loan_purpose,loan_property_address,property_city,property_state,property_zip,property_county_fips,property_type,occupancy_type,annual_income,credit_score,requested_loan_amount,property_value,ltv_ratio,dti_ratio,interest_rate,loan_term_months,decision,decision_date,approved_loan_amount,approval_amount_change_reason,adverse_action_reason,origination_date,outcome_horizon_days,maturation_date,loan_status,forbearance_active,resolution_date,resolution_type,involuntary_closure_mechanism,outstanding_balance_at_resolution,recovery_amount,new_loan_number,abandonment_reason
CUST-000001,MTG-2021-000001,2021-10-09,purchase,"1830 Birch Ave, Atlanta, GA 30301",Atlanta,GA,30301,13121,single_family,second_home,62100,677,239400,276000,0.867,0.497,7.778,360,approved,2021-11-21,239400.0,,,2022-01-05,1095.0,2025-01-04,open,False,,,,,,,
CUST-000002,MTG-2025-000002,2025-02-01,refinance,"5774 Sunset Ave, Houston, TX 77002",Houston,TX,77002,48201,single_family,primary_residence,150700,673,163200,184000,0.887,0.594,7.595,360,denied,2025-03-14,,,excessive existing debt obligations relative to income,,,,,,,,,,,,
CUST-000003,MTG-2023-000003,2023-08-26,purchase,"958 Highland Ave, Milwaukee, WI 53202",Milwaukee,WI,53202,55079,multi_family,primary_residence,58000,722,868100,1120000,0.775,0.414,7.086,360,approved,2023-09-14,868100.0,,,2023-10-05,1095.0,2026-10-04,open,False,,,,,,,
CUST-000004,MTG-2023-000004,2023-08-05,purchase,"3400 Washington Rd, Columbus, OH 43215",Columbus,OH,43215,39049,condo,primary_residence,34200,715,253600,307000,0.826,0.403,6.623,360,approved,2023-09-14,253600.0,,,2023-10-28,1095.0,2026-10-27,open,False,,,,,,,
CUST-000005,MTG-2025-000005,2025-10-05,purchase,"3780 Washington Rd, Mesa, AZ 85201",Mesa,AZ,85201,04013,condo,primary_residence,51800,673,389600,483000,0.807,0.38,7.247,360,approved,2025-11-01,389600.0,,,2025-11-13,1095.0,2028-11-12,open,False,,,,,,,
CUST-000006,MTG-2025-000006,2025-01-25,purchase,"4583 Maple Rd, Raleigh, NC 27601",Raleigh,NC,27601,37183,single_family,primary_residence,22500,557,203700,210000,0.97,0.46,7.443,180,denied,2025-02-19,,,insufficient length of established credit history,,,,,,,,,,,,
CUST-000007,MTG-2020-000007,2020-09-23,purchase,"2107 Church St, Mesa, AZ 85201",Mesa,AZ,85201,04013,single_family,primary_residence,66500,725,355100,494000,0.719,0.389,7.175,360,approved,2020-10-28,355100.0,,,2020-11-09,1095.0,2023-11-09,paid_in_full,False,2024-05-27,paid_in_full,,280700.0,,,
CUST-000008,MTG-2021-000008,2021-09-17,purchase,"2937 Elm Rd, Portland, OR 97201",Portland,OR,97201,41051,single_family,investment_property,35500,704,235700,243000,0.97,0.542,7.286,240,denied,2021-09-29,,,unable to verify stated income with submitted documentation,,,,,,,,,,,,
CUST-000009,MTG-2021-000009,2021-03-20,purchase,"3842 Birch Blvd, Columbus, OH 43215",Columbus,OH,43215,39049,condo,primary_residence,57400,746,457800,474000,0.966,0.417,6.669,180,approved,2021-04-28,457800.0,,,2021-05-14,1095.0,2024-05-13,paid_in_full,False,2023-01-08,paid_in_full,,353300.0,,,
CUST-000010,MTG-2024-000010,2024-09-16,purchase,"9988 Pine St, Austin, TX 78701",Austin,TX,78701,48453,single_family,primary_residence,53100,720,315000,349000,0.903,0.458,7.122,360,approved,2024-09-23,315000.0,,,2024-10-06,1095.0,2027-10-06,paid_in_full,False,2025-05-04,paid_in_full,,274900.0,,,
CUST-000011,MTG-2026-000011,2026-02-02,purchase,"961 Ridge Dr, Dallas, TX 75201",Dallas,TX,75201,48113,single_family,primary_residence,52900,614,386100,398000,0.97,0.449,7.716,360,denied,2026-03-06,,,insufficient funds verified for required down payment and reserves,,,,,,,,,,,,
